year,country,crisisJST,yhat_baseline_insample,yhat_baseline_outsample,yhat_narrowm_1984,yhat_eq_1984,yhat_hous_1984,yhat_bond_1984,yhat_bill_1984,yhat_ca_1984,yhat_all_1984,yhat_narrowm_2017,yhat_eq_2017,yhat_hous_2017,yhat_bond_2017,yhat_bill_2017,yhat_ca_2017,yhat_all_2017
2007,Belgium,0,.033628963,.0029294004,0,.03183328,.018168472,.049054928,.0363205,.086480334,.0046506305,.017076215,.033627752,.022386594,.046945769,.044575721,.051949922,.011927504
2008,Belgium,1,.024214439,.0051814727,2.0015982e-18,.03183328,.019813988,.035942536,.030102272,.00044604915,.000092393566,.037619028,.033627752,.026727187,.048214521,.044950098,.059586059,.52289909
2009,Belgium,0,.024959646,.0043537123,9.7065237e-30,.03183328,.033240713,.026215365,.019963287,.13029005,9.7452985e-06,.0029998943,.033627752,.04242976,.042142261,.026312446,.050844174,.0018804999
2010,Belgium,0,.038445663,.022012109,0,.03183328,.019946547,.038145714,.025078842,.72001958,.98418295,.012427839,.033627752,.02440154,.03101258,.020100495,.030831181,.0021550108
2011,Belgium,0,.018780818,.075349674,0,.03183328,.020585554,.030001316,.035163447,.00026539175,.000059112554,.016169408,.033627752,.023753118,.028640291,.01992885,.064777099,.023931339
2012,Belgium,0,.018643355,.0053704595,0,.03183328,.029475642,.010612937,.030123517,.11215907,9.6117378e-07,.0084566167,.033627752,.03212285,.028166156,.01986903,.061672647,.0021827761
2013,Belgium,0,.023345776,.0023099424,3.2404658e-19,.03183328,.02330854,.046963163,.02875568,7.5582873e-10,1.4775144e-10,.0028825675,.033627752,.028108576,.027651552,.029225901,.02296442,.0016287264
2014,Belgium,0,.027464645,.0039177919,0,.03183328,.030105559,.016702125,.028032476,.99999994,.99999994,.00034853295,.033627752,.034902964,.025518667,.0296461,.023072422,.0075743687
2015,Belgium,0,.019244689,.0033701921,0,.03183328,.027207123,.046454359,.026867125,8.1013707e-10,3.9686402e-13,.0016878675,.033627752,.030541088,.028565116,.026822969,.063532896,.018446662
2016,Belgium,0,.025806457,.0011949755,0,,,,,.63436329,,.00057444529,,,,,.023031335,
2017,Belgium,0,.029941667,.0028437891,0,,,,,.62334204,,.0038809399,,,,,.031783547,
1985,Denmark,0,.032519404,.030679433,.034905765,.03183328,.01440009,.0031760808,.050097648,.031158224,.00013216803,.03452209,.033627752,.016692037,.0087804049,.016732533,.032162506,.012889504
1986,Denmark,0,.032520637,.03067912,.034882523,.03183328,.010462428,.23044124,.0464628,.031143647,.17954114,.03452177,.033627752,.016484771,.030963626,.011248297,.032162432,.10176843
1987,Denmark,1,.032520078,.030682346,.03493344,.03183328,.061300609,.027933158,.060752261,.031172324,.0016742223,.034523558,.033627752,.081832781,.065064661,.023832697,.032161627,.13212416
1988,Denmark,0,.032520521,.030685743,.034881063,.03183328,.025222337,.079236969,.043078836,.031160213,.0083465483,.034523275,.033627752,.033706058,.13208513,.022817809,.03216251,.082184017
1989,Denmark,0,.032520488,.03069287,.034898795,.03183328,.022808332,.046696141,.047403354,.031157415,.00047345518,.034524724,.033627752,.027718814,.030674949,.032322172,.03216273,.0027920688
1990,Denmark,0,.032518916,.030694539,.034902707,.03183328,.058682013,.062878706,.054781366,.031163828,.00034871048,.034523178,.033627752,.057106897,.042795196,.04736004,.032161415,.01407537
1991,Denmark,0,.032518122,.030687023,.034761302,.03183328,.020366013,.015762819,.038377509,.03117303,.016445274,.034522191,.033627752,.023120847,.024592441,.036997855,.032160569,.03337862
1992,Denmark,0,.032518763,.030681817,.034833748,.03183328,.028953692,.039161757,.045672253,.031197049,.034761019,.034522098,.033627752,.031571452,.040082563,.052798484,.032161158,.13499478
1993,Denmark,0,.032519419,.0306825,.0346848,.03183328,.036023051,.023407048,.041567873,.031170022,.0044394406,.034518477,.033627752,.036382586,.037331603,.041661579,.032161668,.069267236
1994,Denmark,0,.032518167,.030682921,.03477969,.03183328,.010854235,.091559567,.024413373,.031187227,.017435841,.034524899,.033627752,.012475176,.025937276,.017406009,.03216156,.0060973507
1995,Denmark,0,.032518841,.030679904,.034653816,.03183328,.018728346,.012807311,.035700314,.031173581,.0012079747,.034522872,.033627752,.020666735,.037354529,.01750383,.032162283,.0081320899
1996,Denmark,0,.032519236,.03067963,.034639452,.03183328,.018060941,.059338786,.036105517,.031189375,.019470975,.034523133,.033627752,.020538157,.049005102,.01071635,.03216185,.0034486526
1997,Denmark,0,.032518324,.030678395,.034950309,.03183328,.011484172,.0204909,.039322253,.031173954,.000010736425,.034518071,.033627752,.015528512,.029484944,.01207414,.032163221,.00010558486
1998,Denmark,0,.032520019,.030676212,.034395609,.03183328,.020306744,.040519759,.045363706,.031161563,.0055514178,.034519371,.033627752,.024970438,.031708952,.024491416,.032164223,.010916607
1999,Denmark,0,.032519553,.030679848,.034575094,.03183328,.018464666,.038620986,.033560574,.031184141,.00213744,.034522854,.033627752,.023812003,.024631033,.02304982,.03216251,.0032360402
2000,Denmark,0,.032519501,.030681996,.034673795,.03183328,.019185008,.039816231,.040006474,.031167131,.000074588548,.034522526,.033627752,.024663586,.055340089,.039701305,.032162707,.0028831817
2001,Denmark,0,.032520618,.03068332,.034561913,.03183328,.020175114,.048437655,.034393173,.031210603,.054479141,.034520466,.033627752,.024860734,.05135363,.040434327,.032163329,.049611833
2002,Denmark,0,.032518134,.030684546,.034616541,.03183328,.023121664,.028124789,.026895588,.031125121,.06247212,.034519035,.033627752,.027815105,.041011032,.031358637,.032162879,.092649013
2003,Denmark,0,.032520473,.030682174,.034462169,.03183328,.023241634,.04476903,.026849013,.031243112,.0011812964,.034517694,.033627752,.027966982,.034513917,.027371444,.032160178,.0028925678
2004,Denmark,0,.032519419,.030688373,.034427416,.03183328,.016023366,.019968443,.030301947,.031166153,.00055431511,.034515169,.033627752,.019036887,.026440626,.020793717,.032162379,.0013957889
2005,Denmark,0,.03251826,.030683357,.034617096,.03183328,.0095518287,.033632066,.034376316,.031237597,.00017448884,.034509182,.033627752,.011087877,.035254024,.022781871,.03216175,.00032918956
2006,Denmark,0,.03251937,.030674031,.034582477,.03183328,.0080015939,.04460248,.037367649,.031161068,.0003569836,.034513388,.033627752,.0094954139,.036075924,.032451443,.032163687,.00094160216
2007,Denmark,0,.03251975,.030674225,.0343724,.03183328,.023690756,.044505581,.037735604,.031195825,.0010607018,.034517806,.033627752,.031199951,.044875536,.046928849,.032162491,.0048220921
2008,Denmark,1,.032521419,.030679846,.034589846,.03183328,.042272311,.023336541,.033449743,.031208033,.4433527,.034527574,.033627752,.060180612,.041973263,.053684019,.032162294,.57848537
2009,Denmark,0,.032518756,.030691933,.034668796,.03183328,.048872147,.045832139,.020714959,.031202657,.0037744667,.034517512,.033627752,.068362132,.038788546,.03184719,.03216308,.0077340645
2010,Denmark,0,.032519802,.030695789,.034428835,.03183328,.025864238,.025223717,.02232803,.031258207,.0001162599,.034523498,.033627752,.027813938,.031430926,.020345995,.03216397,.00075249386
2011,Denmark,0,.032515962,.03069683,.034125742,.03183328,.026633518,.018843399,.032575324,.031159267,.16178724,.034520954,.033627752,.026812166,.026404995,.017645393,.032164205,.022258427
2012,Denmark,0,.032515477,.030682353,.033704661,.03183328,.043403663,.027545489,.031249888,.031259269,.0072119911,.034515817,.033627752,.041803043,.026558122,.015958508,.032161444,.0055809761
2013,Denmark,0,.032516617,.0306732,.034478471,.03183328,.016363978,.065580435,.030711366,.031222895,.000086426538,.034510396,.033627752,.019411696,.036629226,.024459321,.032160856,.00048951531
2014,Denmark,0,.03251601,.030668018,.033590723,.03183328,.025268154,.017696403,.029485937,.031302225,.00067301694,.034505423,.033627752,.027003011,.038056634,.02875605,.032160092,.0027944951
2015,Denmark,0,.032516502,.03066298,.03361303,.03183328,.031425666,.064312704,.027465012,.031249864,.0025958908,.034511056,.033627752,.034154817,.048276234,.027806839,.032164913,.002719688
2016,Denmark,0,.032518368,.030665249,.034352969,,,,,.031241797,,.034507144,,,,,.032164298,
2017,Denmark,0,.032517135,.030671276,.033842105,,,,,.031266406,,.034511108,,,,,.032162666,
1985,France,0,.032517228,.030658269,.034211978,.03183328,.023110205,.01376971,.040040962,.031192752,.0020794168,.034510948,.033627752,.026980106,.011534195,.015366131,.032163568,.0034295118
1986,France,0,.032517176,.030664412,.034163408,.03183328,.020374851,.016278444,.039338365,.031114705,.00023001425,.034509007,.033627752,.024023108,.018040366,.011785541,.032162875,.0014469872
1987,France,0,.032516245,.030665867,.03393735,.03183328,.018295599,.088503011,.049985766,.031148855,.083465509,.034512777,.033627752,.021315226,.03936518,.016723296,.032158937,.07226973
1988,France,0,.032517042,.030664038,.033830557,.03183328,.014828979,.030392723,.048159745,.03120511,8.1634589e-06,.034515619,.033627752,.017287089,.050694585,.018779719,.032160256,.00045583636
1989,France,0,.032517284,.03066135,.03362738,.03183328,.013785293,.076514229,.053477727,.031131856,.00011498857,.03451056,.033627752,.016554818,.056650944,.032609899,.032161832,.0015046713
1990,France,0,.032516245,.030658577,.033695176,.03183328,.017558608,.049566306,.050001577,.031180654,.017470662,.034507878,.033627752,.021914376,.05069267,.051973946,.032162998,.063686252
1991,France,0,.032519005,.030665699,.033261716,.03183328,.021480748,.031281978,.037773028,.031133385,.0025046545,.034511786,.033627752,.027894318,.044003613,.048084602,.032164462,.03104781
1992,France,0,.032516554,.030691037,.032825463,.03183328,.032794021,.028417991,.041818254,.031178931,.0087604392,.03451908,.033627752,.042324375,.02894933,.05515141,.032161009,.041349433
1993,France,0,.032514282,.030695135,.033171657,.03183328,.031714033,.0098783039,.034138419,.031193992,.00028674558,.034516808,.033627752,.038367871,.025182899,.034655098,.032161865,.0068955417
1994,France,0,.032508109,.03067692,.033002384,.03183328,.025586313,.10734945,.026245154,.031154465,.55088347,.034503102,.033627752,.029411888,.022194343,.018113144,.032162432,.10024454
1995,France,0,.032511853,.030650118,.032664757,.03183328,.031362884,.012326558,.040673848,.031175327,.0023862612,.034502819,.033627752,.03311092,.030078726,.019327449,.032159235,.016456658
1996,France,0,.032512709,.030646434,.03241358,.03183328,.025350196,.044046614,.034259863,.031265013,.012082191,.034496929,.033627752,.027757933,.048702084,.012275764,.032157291,.0070906486
1997,France,0,.032510124,.030641962,.032615751,.03183328,.028108858,.017502565,.03503596,.031311117,.00033086201,.034500398,.033627752,.031369641,.029280374,.01432841,.032159258,.0014614104
1998,France,0,.03251487,.030635275,.032955457,.03183328,.025857488,.031383075,.040745039,.031236475,.00061442063,.034488562,.033627752,.028487654,.026297014,.0225101,.032163642,.0044251406
